library name,text,rodata,data,bss,code,flash,ram
lib\libboot_ex_spi6nor.a,1322,314,162,6,1636,1798,168
lib\libcalclib.a,2706,8,0,352,2714,2714,352
lib\libcalclib_crc.a,252,1280,0,0,1532,1532,0
lib\libcfw.a,2144,45,0,4,2189,2189,4
lib\libcfw_core_modem_lte_volte_lib.a,316076,49433,3594,18612,365509,369103,22206
lib\libcrypto.a,15690,631,0,100,16321,16321,100
lib\libdiag.a,7864,188,0,6780,8052,8052,6780
lib\libdriver_camera.a,10098,2825,497,95,12923,13420,592
lib\libdriver_charge_adc.a,5446,161,71,270,5607,5678,341
lib\libdriver_lcd.a,4400,563,86,3,4963,5049,89
lib\libdrv_host.a,1476,0,0,0,1476,1476,0
lib\libefuse_secure.a,970,0,2,4,970,972,6
lib\libfatfs.a,7248,829,1,555,8077,8078,556
lib\libfs.a,5498,148,192,136,5646,5838,328
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1436,38,1,8,1474,1475,9
lib\libfupdate_core.a,3052,72,16,0,3124,3140,16
lib\libfupdate_security_app.a,172,16,0,1,188,188,1
lib\libhal_prop.a,3140,1233,1660,1480,4373,6033,3140
lib\libids_core.a,3558,665,0,92,4223,4223,92
lib\libimshttp.a,5792,327,72,16,6119,6191,88
lib\libimshttp_core.a,87904,6428,156,917,94332,94488,1073
lib\libipsec_core.a,45528,25145,308,11802,70673,70981,12110
lib\libjson.a,4154,28,12,8,4182,4194,20
lib\liblcdpanel.a,2300,110,12,0,2410,2422,12
lib\liblwip.a,104326,15880,34,7252,120206,120240,7286
lib\liblz4.a,3690,64,0,0,3754,3754,0
lib\libmal.a,1288,41,0,8,1329,1329,8
lib\libmatrix_ssl_core.a,5036,30,0,1,5066,5066,1
lib\libmbedtls.a,158540,54326,95,9386,212866,212961,9481
lib\libml.a,1648,16452,168,4,18100,18268,172
lib\libnanopb.a,5100,554,0,0,5654,5654,0
lib\libnet.a,15612,369,44,12992,15981,16025,13036
lib\libnvm.a,4292,1549,0,3,5841,5841,3
lib\liboql_core_drv.a,248,1920,320,1,2168,2488,321
lib\liboql_core_virt_func.a,532,0,0,21,532,532,21
lib\libosi_core.a,7664,96,0,125,7760,7760,125
lib\libosi_lib.a,9272,248,0,205597,9520,9520,205597
lib\libql_codec_cfg.a,1264,382,772,0,1646,2418,772
lib\libql_kernel_cfg.a,11468,193,6,14604,11661,11667,14610
lib\libql_open_at.a,240,554,0,0,794,794,0
lib\libql_spi4_nor_prop.a,24,0,200,0,24,224,200
lib\librpc_core_modem_lte_lib.a,3568,2613,1,12,6181,6182,13
lib\libsci_netif_core.a,2546,29,0,8,2575,2575,8
lib\libservice.a,7152,504,8,85,7656,7664,93
lib\libsffs_core.a,24216,832,12,0,25048,25060,12
lib\libsimlock_core.a,20422,1684,5393,8798,22106,27499,14191
lib\libvsi_amrnb.a,70640,33517,0,0,104157,104157,0
lib\libboot_ex_ql_pin.a,0,0,248,1,0,248,249
..\..\components\ql-kernel\libs\libql_fatfs_ex.a,0,0,0,8,0,0,8
